Transaction_Amount,Transaction_Type,Device_Used,Account_Age,Credit_Score,Previous_Fraud,Day,Day_of_Week,Hour,Minute
8296.69,Transfer,Web,9,397,Yes,16,Thursday,15,5
3595.77,Withdrawal,POS Terminal,1,484,No,19,Sunday,14,12
8216.39,Transfer,POS Terminal,4,514,Yes,25,Saturday,0,38
9771.89,Online Payment,POS Terminal,15,721,No,11,Saturday,10,1
658.42,Transfer,POS Terminal,14,434,Yes,15,Saturday,18,22
2199.57,Transfer,ATM,8,327,Yes,29,Wednesday,16,21
9168.54,Transfer,ATM,11,450,No,8,Saturday,3,57
7496.42,Withdrawal,Mobile,19,708,No,9,Thursday,14,25
7229.59,Withdrawal,Mobile,8,817,Yes,16,Thursday,23,8
1619.52,Transfer,Web,12,847,Yes,7,Friday,21,25
6027.39,Withdrawal,Web,4,504,Yes,2,Sunday,21,25
7415.61,Withdrawal,Mobile,2,368,No,12,Sunday,14,45
7814.65,Deposit,ATM,18,723,Yes,31,Friday,7,52
637.39,Transfer,Mobile,13,333,No,2,Thursday,8,44
8018.38,Online Payment,Web,8,479,Yes,13,Monday,17,43
806.1,Transfer,POS Terminal,9,306,Yes,8,Saturday,2,54
3108.94,Transfer,ATM,18,494,Yes,1,Saturday,10,18
8886.17,Online Payment,POS Terminal,9,543,No,10,Friday,23,55
5712.93,Withdrawal,ATM,5,635,Yes,10,Friday,2,10
2230.1,Withdrawal,Web,5,523,Yes,19,Sunday,12,43
9267.37,Deposit,POS Terminal,4,669,No,19,Sunday,12,32
6954.09,Withdrawal,Mobile,12,512,Yes,7,Tuesday,5,18
9955.86,Transfer,ATM,7,561,No,7,Tuesday,11,13
7962.39,Deposit,ATM,6,351,No,12,Sunday,19,12
2580.33,Online Payment,Mobile,1,628,Yes,4,Tuesday,15,33
7580.44,Deposit,ATM,6,591,No,28,Tuesday,23,3
729.73,Online Payment,Mobile,3,559,No,10,Monday,3,32
9226.94,Online Payment,Mobile,7,746,Yes,6,Monday,8,49
1984.55,Online Payment,Web,20,618,No,28,Tuesday,1,13
7869.43,Online Payment,Web,1,642,Yes,3,Monday,0,0
2549.64,Withdrawal,Mobile,6,687,No,6,Monday,22,3
6942.0,Online Payment,POS Terminal,9,504,No,10,Monday,11,14
4008.67,Deposit,Mobile,5,509,Yes,9,Sunday,8,26
947.68,Deposit,ATM,14,364,No,20,Monday,6,0
9839.11,Withdrawal,Web,18,333,Yes,9,Thursday,15,19
1788.85,Online Payment,Web,16,563,No,2,Thursday,7,31
8948.59,Withdrawal,Web,9,599,No,14,Tuesday,5,20
8249.23,Withdrawal,POS Terminal,18,581,Yes,13,Monday,23,55
1435.0,Deposit,Web,4,368,Yes,10,Monday,14,24
2450.18,Deposit,Web,18,322,Yes,13,Monday,1,17
1126.98,Transfer,POS Terminal,4,310,Yes,6,Thursday,10,47
5899.74,Deposit,ATM,6,324,No,7,Friday,10,47
6064.8,Withdrawal,Mobile,16,833,No,3,Monday,17,51
2324.79,Deposit,POS Terminal,13,410,No,30,Thursday,13,28
9626.09,Withdrawal,ATM,4,358,No,8,Wednesday,8,55
8217.37,Transfer,Web,13,759,Yes,15,Wednesday,23,34
1132.09,Deposit,Mobile,6,717,No,20,Monday,9,25
4649.18,Transfer,ATM,9,626,Yes,27,Monday,12,49
4864.94,Transfer,ATM,20,457,Yes,14,Friday,10,56
7875.01,Withdrawal,Mobile,16,336,Yes,14,Friday,12,5
3123.09,Withdrawal,Mobile,3,589,No,7,Tuesday,4,47
2252.68,Online Payment,Web,15,435,Yes,19,Sunday,14,36
8952.07,Transfer,ATM,12,583,Yes,11,Saturday,21,51
8067.73,Withdrawal,POS Terminal,8,462,Yes,16,Thursday,21,44
6935.85,Online Payment,ATM,15,651,Yes,24,Friday,11,4
7945.08,Withdrawal,Mobile,18,543,Yes,30,Thursday,14,46
8465.66,Transfer,ATM,3,699,Yes,20,Monday,10,53
9214.26,Withdrawal,ATM,18,394,No,15,Saturday,0,48
5917.53,Deposit,POS Terminal,14,414,Yes,16,Thursday,20,50
8321.85,Deposit,POS Terminal,20,588,Yes,29,Wednesday,0,8
4224.66,Transfer,POS Terminal,11,384,Yes,10,Friday,1,27
9450.14,Transfer,Web,3,334,Yes,30,Thursday,16,51
2113.96,Online Payment,Mobile,18,613,Yes,1,Wednesday,1,29
945.44,Withdrawal,Mobile,10,669,Yes,18,Saturday,3,16
5508.87,Withdrawal,Web,13,536,Yes,26,Sunday,11,24
3888.45,Withdrawal,ATM,10,515,Yes,4,Saturday,7,13
1395.88,Withdrawal,Mobile,5,458,Yes,29,Wednesday,14,16
561.27,Withdrawal,ATM,18,306,No,3,Monday,10,35
2383.93,Deposit,ATM,12,733,Yes,24,Friday,3,52
6613.24,Transfer,Web,20,569,No,26,Sunday,8,59
7997.21,Deposit,POS Terminal,9,726,No,16,Sunday,2,8
283.17,Transfer,ATM,9,307,No,13,Monday,7,50
4057.31,Transfer,Mobile,1,421,Yes,18,Saturday,21,26
9474.06,Online Payment,POS Terminal,15,811,Yes,22,Wednesday,19,17
5339.75,Deposit,Web,16,468,No,2,Thursday,15,20
7790.8,Transfer,Mobile,4,699,No,16,Thursday,4,44
7753.34,Deposit,POS Terminal,16,768,No,1,Wednesday,3,32
3056.03,Deposit,Web,2,490,No,25,Saturday,2,15
9597.5,Deposit,Web,9,759,Yes,12,Sunday,0,46
4723.74,Withdrawal,Mobile,6,520,Yes,18,Saturday,15,24
7647.01,Withdrawal,Mobile,7,403,Yes,12,Wednesday,20,10
7427.81,Deposit,Mobile,10,802,Yes,25,Saturday,2,31
9016.86,Transfer,Mobile,12,533,No,14,Friday,18,53
6149.42,Online Payment,Web,2,530,Yes,2,Sunday,3,21
6643.18,Online Payment,Web,11,724,Yes,4,Saturday,4,32
4501.92,Deposit,ATM,13,369,No,11,Tuesday,8,17
648.87,Transfer,Web,7,404,No,21,Tuesday,16,30
3760.95,Transfer,Mobile,7,430,Yes,7,Tuesday,5,58
6553.85,Deposit,ATM,13,481,No,21,Tuesday,22,21
5080.27,Deposit,Mobile,17,764,Yes,21,Tuesday,2,33
3766.45,Deposit,Web,7,701,No,9,Sunday,8,50
9931.69,Deposit,Web,12,367,No,13,Monday,19,15
4569.56,Transfer,POS Terminal,14,644,No,1,Wednesday,16,40
4049.26,Deposit,Mobile,15,451,Yes,10,Monday,23,21
4752.58,Deposit,POS Terminal,14,324,No,5,Sunday,2,48
1010.66,Withdrawal,Mobile,20,426,No,16,Sunday,0,46
7625.39,Transfer,Web,4,335,Yes,3,Monday,2,54
4419.44,Online Payment,ATM,20,819,No,1,Wednesday,3,15
1200.83,Withdrawal,POS Terminal,15,805,Yes,12,Wednesday,0,17
9664.44,Deposit,Mobile,16,686,Yes,19,Sunday,12,30
112.26,Transfer,ATM,13,499,No,2,Thursday,21,38
444.3,Deposit,POS Terminal,9,644,No,28,Tuesday,0,37
1300.06,Deposit,Mobile,2,803,No,8,Saturday,14,9
8850.94,Online Payment,POS Terminal,16,386,No,2,Thursday,12,0
8105.19,Online Payment,Mobile,17,712,No,9,Thursday,13,18
2712.2,Transfer,Web,12,715,Yes,11,Tuesday,14,1
9455.08,Withdrawal,Web,15,580,Yes,5,Wednesday,7,50
8777.98,Withdrawal,Mobile,17,672,Yes,17,Friday,16,52
762.73,Transfer,ATM,2,817,Yes,13,Monday,15,54
7574.85,Deposit,Mobile,20,302,No,24,Friday,0,14
7420.2,Transfer,Web,6,564,Yes,9,Sunday,8,40
9001.97,Withdrawal,POS Terminal,8,722,Yes,10,Friday,22,23
9492.56,Transfer,Web,11,303,Yes,29,Wednesday,11,32
7954.87,Withdrawal,POS Terminal,19,367,Yes,23,Thursday,18,49
9330.89,Deposit,POS Terminal,15,655,No,19,Sunday,13,7
2195.26,Transfer,POS Terminal,19,653,No,28,Tuesday,23,42
8681.91,Deposit,Mobile,16,404,No,28,Tuesday,15,49
5504.6,Withdrawal,Web,13,309,Yes,29,Wednesday,11,27
9030.61,Online Payment,ATM,20,372,Yes,4,Tuesday,12,5
2193.6,Transfer,Web,13,666,Yes,26,Sunday,19,17
122.33,Online Payment,POS Terminal,6,342,Yes,28,Tuesday,4,48
6879.4,Deposit,ATM,5,312,No,10,Friday,2,19
8269.78,Online Payment,ATM,15,362,Yes,14,Tuesday,7,42
649.73,Transfer,Web,9,551,Yes,29,Wednesday,23,5
2616.63,Withdrawal,ATM,12,423,No,1,Wednesday,14,44
2386.43,Withdrawal,Web,5,759,Yes,3,Monday,1,42
6190.15,Online Payment,Web,16,812,No,19,Sunday,5,12
1286.66,Online Payment,Mobile,10,357,Yes,28,Tuesday,6,1
3257.19,Deposit,ATM,17,590,No,31,Friday,4,51
5763.89,Deposit,Mobile,7,715,No,1,Wednesday,11,51
6336.07,Deposit,POS Terminal,11,423,Yes,24,Friday,15,13
8288.21,Withdrawal,Mobile,17,337,No,6,Thursday,12,12
5277.49,Online Payment,Web,11,328,Yes,8,Wednesday,7,2
7043.0,Withdrawal,Web,4,323,Yes,11,Tuesday,4,47
1484.11,Deposit,ATM,19,393,Yes,5,Wednesday,17,28
2736.77,Deposit,POS Terminal,8,461,No,4,Tuesday,2,52
9837.05,Online Payment,Mobile,18,391,Yes,15,Saturday,3,29
5736.97,Withdrawal,ATM,16,744,No,13,Monday,13,51
5400.85,Deposit,ATM,19,455,No,12,Sunday,21,35
4423.31,Transfer,POS Terminal,6,673,Yes,28,Tuesday,9,3
1357.55,Transfer,Mobile,15,717,No,16,Sunday,1,47
1974.47,Transfer,ATM,11,572,No,15,Saturday,23,12
5538.58,Deposit,POS Terminal,10,811,No,3,Monday,8,52
3587.48,Transfer,POS Terminal,6,695,Yes,11,Saturday,11,38
6956.16,Transfer,Mobile,18,572,Yes,7,Friday,23,35
8734.21,Transfer,Mobile,17,709,Yes,10,Monday,1,26
7656.83,Deposit,Web,16,770,No,29,Wednesday,2,13
8311.11,Deposit,Mobile,2,351,Yes,31,Friday,20,54
9117.55,Online Payment,Mobile,17,407,Yes,12,Sunday,2,58
5917.72,Online Payment,Mobile,14,574,Yes,11,Tuesday,20,18
1122.71,Transfer,ATM,15,601,No,25,Saturday,18,23
3972.67,Online Payment,Mobile,6,466,Yes,17,Friday,17,51
9322.28,Deposit,Web,4,514,No,23,Thursday,1,23
6885.84,Deposit,Web,1,326,No,25,Saturday,20,16
7349.42,Deposit,POS Terminal,6,734,Yes,11,Saturday,16,19
4551.23,Transfer,ATM,20,472,Yes,11,Saturday,17,43
9884.13,Online Payment,ATM,19,410,Yes,24,Friday,15,41
4308.44,Withdrawal,Web,2,610,Yes,5,Sunday,9,0
2169.83,Withdrawal,POS Terminal,14,832,Yes,31,Friday,7,57
8409.71,Withdrawal,Mobile,13,725,No,4,Saturday,16,52
1615.42,Deposit,Web,8,819,No,31,Friday,15,12
662.74,Transfer,POS Terminal,11,553,No,3,Monday,6,10
2290.0,Online Payment,ATM,15,548,No,15,Saturday,16,52
8389.17,Transfer,POS Terminal,6,424,Yes,26,Sunday,19,27
2204.32,Transfer,Web,3,844,Yes,8,Wednesday,18,5
5242.86,Transfer,Web,3,756,No,9,Thursday,4,37
8840.73,Withdrawal,Web,6,527,Yes,6,Monday,22,12
916.25,Online Payment,ATM,1,450,No,12,Wednesday,7,11
3179.48,Online Payment,Mobile,5,429,Yes,7,Tuesday,15,20
8658.7,Deposit,Mobile,14,311,Yes,24,Friday,4,28
2899.9,Deposit,Mobile,20,786,Yes,6,Thursday,18,40
5098.86,Online Payment,ATM,14,613,Yes,16,Thursday,10,24
7341.26,Deposit,Mobile,18,767,No,1,Wednesday,16,36
8346.79,Online Payment,Mobile,3,540,Yes,11,Tuesday,2,48
3729.74,Withdrawal,Mobile,9,707,No,27,Monday,8,31
8734.53,Withdrawal,Web,13,470,No,2,Sunday,1,33
5341.98,Online Payment,Web,6,362,No,10,Monday,8,6
9842.59,Transfer,Mobile,9,345,Yes,4,Tuesday,8,42
5454.22,Transfer,Web,6,432,Yes,6,Thursday,4,34
1416.34,Withdrawal,POS Terminal,2,704,No,12,Sunday,6,37
4111.62,Deposit,Mobile,9,658,No,13,Monday,7,29
9829.83,Withdrawal,ATM,4,844,Yes,5,Sunday,16,36
3580.92,Online Payment,Web,19,553,Yes,22,Wednesday,21,6
4694.66,Deposit,POS Terminal,16,724,Yes,6,Thursday,20,59
3892.04,Deposit,ATM,13,656,No,29,Wednesday,15,42
7854.47,Withdrawal,ATM,10,708,Yes,31,Friday,15,2
6702.9,Deposit,Web,11,373,Yes,1,Wednesday,19,34
4428.61,Online Payment,Mobile,13,540,Yes,21,Tuesday,0,36
3694.46,Withdrawal,Web,12,373,Yes,8,Saturday,21,57
3098.31,Withdrawal,Mobile,16,629,No,5,Sunday,12,34
8110.64,Transfer,POS Terminal,3,465,No,23,Thursday,11,42
4621.86,Deposit,POS Terminal,8,758,No,30,Thursday,6,37
2886.69,Deposit,POS Terminal,1,589,Yes,5,Sunday,15,50
4036.6,Deposit,Mobile,19,799,No,26,Sunday,17,34
1107.09,Transfer,Mobile,13,477,Yes,8,Wednesday,8,53
6509.0,Deposit,POS Terminal,4,631,Yes,1,Wednesday,5,8
9639.83,Withdrawal,Mobile,4,451,Yes,22,Wednesday,8,0
4507.23,Online Payment,ATM,7,576,Yes,12,Sunday,14,8
4749.53,Withdrawal,Web,13,774,No,10,Friday,7,25
3112.29,Transfer,ATM,1,354,No,24,Friday,11,0
9220.27,Transfer,ATM,17,837,Yes,6,Thursday,17,36
5936.13,Deposit,Web,15,741,No,30,Thursday,7,8
7110.72,Deposit,POS Terminal,8,649,No,24,Friday,10,8
3214.28,Withdrawal,Mobile,8,337,No,4,Tuesday,11,51
4922.74,Deposit,Web,3,729,Yes,4,Saturday,13,14
4372.93,Withdrawal,POS Terminal,18,345,Yes,3,Monday,5,6
7452.32,Withdrawal,POS Terminal,1,528,Yes,8,Saturday,7,26
3637.04,Online Payment,ATM,11,315,No,31,Friday,0,26
1243.07,Withdrawal,ATM,17,671,No,31,Friday,13,59
7342.22,Online Payment,ATM,19,625,No,28,Tuesday,7,29
2913.82,Transfer,ATM,16,741,No,12,Sunday,10,32
1388.26,Withdrawal,ATM,12,561,No,7,Friday,18,21
9993.84,Withdrawal,Web,17,360,No,15,Saturday,6,15
6462.12,Online Payment,Web,19,577,Yes,4,Saturday,7,58
1321.61,Withdrawal,ATM,11,550,No,3,Friday,8,51
8357.11,Online Payment,Web,1,367,Yes,29,Wednesday,14,7
1642.94,Online Payment,Mobile,8,815,Yes,26,Sunday,18,28
3757.5,Online Payment,Mobile,2,686,Yes,2,Thursday,16,24
7924.35,Deposit,Web,9,777,No,7,Friday,22,33
9566.2,Deposit,Mobile,14,316,No,7,Tuesday,4,13
9928.8,Online Payment,Mobile,6,447,Yes,10,Friday,19,54
9882.07,Withdrawal,Mobile,14,531,No,6,Monday,3,31
3281.78,Withdrawal,ATM,8,460,No,8,Wednesday,14,27
2546.25,Withdrawal,Web,13,371,No,6,Monday,17,2
5722.89,Withdrawal,ATM,20,681,Yes,15,Saturday,1,25
9645.61,Deposit,POS Terminal,3,530,No,4,Tuesday,0,35
4541.54,Online Payment,POS Terminal,17,642,No,3,Friday,17,40
4130.97,Deposit,Mobile,10,465,Yes,10,Friday,0,25
8064.44,Deposit,Mobile,10,734,Yes,22,Wednesday,7,30
4023.77,Withdrawal,ATM,2,547,No,16,Thursday,13,0
4083.53,Online Payment,POS Terminal,7,427,No,3,Monday,18,48
7909.13,Online Payment,POS Terminal,10,597,Yes,25,Saturday,20,8
9215.87,Online Payment,ATM,12,640,Yes,20,Monday,11,46
5066.97,Withdrawal,Web,6,624,No,18,Saturday,22,51
4377.31,Online Payment,POS Terminal,8,784,Yes,20,Monday,17,25
5461.23,Online Payment,ATM,10,788,No,6,Thursday,22,32
1676.6,Online Payment,Mobile,17,544,No,9,Thursday,11,58
995.03,Deposit,Mobile,11,415,Yes,24,Friday,10,29
5378.04,Deposit,ATM,13,316,Yes,22,Wednesday,6,2
7514.14,Deposit,POS Terminal,20,693,No,1,Wednesday,15,31
8211.04,Deposit,Mobile,13,339,Yes,2,Sunday,1,38
3156.33,Transfer,ATM,14,303,Yes,18,Saturday,15,18
3979.97,Deposit,POS Terminal,11,339,Yes,6,Monday,15,6
3207.22,Withdrawal,POS Terminal,13,471,Yes,14,Tuesday,18,7
3370.53,Transfer,POS Terminal,11,712,No,2,Thursday,4,26
2681.06,Transfer,Web,20,621,Yes,4,Saturday,1,44
6402.31,Deposit,POS Terminal,17,809,Yes,16,Sunday,8,26
7451.18,Withdrawal,Mobile,16,479,No,5,Sunday,11,30
6860.8,Withdrawal,POS Terminal,15,399,No,2,Thursday,14,52
883.13,Withdrawal,POS Terminal,7,325,No,19,Sunday,21,6
4534.15,Online Payment,Web,5,510,No,23,Thursday,12,51
7490.02,Transfer,ATM,13,333,Yes,19,Sunday,9,53
9976.2,Transfer,Web,15,591,No,27,Monday,4,21
8556.9,Online Payment,Web,20,833,No,10,Friday,15,57
7660.84,Withdrawal,ATM,15,850,No,3,Friday,5,35
1316.98,Online Payment,Web,16,790,No,29,Wednesday,17,59
8921.01,Online Payment,Web,17,709,No,9,Thursday,4,37
2933.22,Online Payment,POS Terminal,3,380,No,1,Saturday,22,38
2194.82,Transfer,POS Terminal,13,803,Yes,25,Saturday,22,52
1976.46,Transfer,POS Terminal,15,531,No,2,Sunday,22,46
8755.55,Transfer,POS Terminal,13,419,No,13,Thursday,8,17
8928.35,Withdrawal,Web,1,553,No,3,Friday,10,16
1901.87,Withdrawal,Mobile,10,568,Yes,19,Sunday,20,12
44.7,Deposit,ATM,5,826,No,26,Sunday,12,59
6076.67,Withdrawal,Web,20,693,No,11,Tuesday,19,51
4146.37,Withdrawal,Mobile,14,430,No,22,Wednesday,15,54
3992.55,Withdrawal,POS Terminal,12,602,Yes,10,Monday,4,36
9421.61,Deposit,POS Terminal,3,380,No,13,Monday,2,44
2182.42,Online Payment,ATM,20,682,Yes,1,Saturday,14,3
3839.19,Deposit,ATM,5,483,Yes,13,Monday,23,11
9404.63,Withdrawal,Mobile,4,378,No,9,Sunday,1,7
1052.84,Withdrawal,Mobile,18,355,No,14,Tuesday,17,3
728.74,Transfer,ATM,11,659,Yes,14,Friday,22,7
800.38,Online Payment,POS Terminal,19,478,No,9,Sunday,21,50
6251.52,Online Payment,POS Terminal,17,775,No,18,Saturday,16,5
4849.64,Withdrawal,Web,14,449,No,13,Thursday,16,1
1971.55,Online Payment,POS Terminal,10,442,No,7,Friday,17,18
4774.52,Withdrawal,Mobile,12,485,No,12,Wednesday,8,53
3074.04,Transfer,POS Terminal,3,449,No,21,Tuesday,18,56
4835.79,Transfer,POS Terminal,9,683,No,27,Monday,22,27
8259.94,Deposit,ATM,13,464,Yes,21,Tuesday,7,18
5142.25,Deposit,ATM,3,476,No,5,Sunday,14,7
8631.33,Deposit,Web,11,548,No,9,Thursday,2,0
1550.76,Online Payment,ATM,10,347,No,13,Monday,12,5
4542.98,Deposit,ATM,7,682,No,20,Monday,20,0
9738.14,Withdrawal,ATM,18,779,No,2,Thursday,17,43
9133.25,Withdrawal,POS Terminal,14,521,Yes,26,Sunday,16,13
830.61,Withdrawal,POS Terminal,17,474,No,20,Monday,15,47
8520.75,Deposit,POS Terminal,11,401,Yes,5,Wednesday,14,23
1197.74,Online Payment,POS Terminal,7,307,Yes,25,Saturday,11,20
3320.98,Online Payment,ATM,3,611,No,14,Friday,4,5
6631.86,Withdrawal,Mobile,15,637,No,19,Sunday,16,35
6074.24,Deposit,POS Terminal,1,650,No,15,Saturday,6,49
2722.61,Online Payment,ATM,17,783,Yes,21,Tuesday,17,28
8362.24,Withdrawal,Mobile,12,640,No,28,Tuesday,4,8
8523.65,Online Payment,Mobile,6,785,Yes,14,Friday,0,49
3697.6,Transfer,Web,12,578,No,2,Thursday,13,35
6433.87,Withdrawal,Mobile,9,833,Yes,23,Thursday,22,18
3447.56,Withdrawal,Web,6,491,Yes,10,Friday,23,5
7591.63,Withdrawal,POS Terminal,20,832,No,8,Saturday,19,18
5575.59,Transfer,POS Terminal,14,812,Yes,13,Thursday,3,16
4382.2,Transfer,Web,1,623,Yes,22,Wednesday,15,14
8932.93,Deposit,POS Terminal,3,682,No,3,Monday,19,19
5397.37,Online Payment,Mobile,16,446,No,7,Tuesday,23,32
3965.98,Withdrawal,POS Terminal,7,821,No,1,Wednesday,19,21
9218.01,Deposit,POS Terminal,18,358,No,23,Thursday,5,10
8602.15,Transfer,Web,16,737,No,29,Wednesday,8,53
9058.1,Deposit,POS Terminal,11,490,Yes,8,Wednesday,23,13
8571.23,Deposit,POS Terminal,17,453,No,31,Friday,1,12
8847.67,Transfer,POS Terminal,8,459,No,29,Wednesday,19,16
5839.82,Transfer,ATM,18,798,No,28,Tuesday,18,23
5607.95,Transfer,POS Terminal,20,366,No,4,Tuesday,7,59
525.69,Online Payment,Mobile,4,602,Yes,21,Tuesday,23,51
112.91,Deposit,Web,10,496,Yes,12,Sunday,1,18
6274.7,Online Payment,ATM,17,646,Yes,4,Saturday,2,13
1627.35,Online Payment,ATM,12,749,No,27,Monday,7,29
1428.63,Deposit,POS Terminal,16,789,No,5,Sunday,12,57
6203.15,Transfer,Mobile,2,330,No,4,Saturday,11,7
9629.74,Transfer,POS Terminal,20,609,Yes,5,Wednesday,15,49
9702.11,Withdrawal,Mobile,8,333,No,8,Saturday,3,21
5301.96,Deposit,Web,12,829,No,4,Saturday,14,10
167.09,Online Payment,ATM,3,735,Yes,15,Wednesday,23,50
9800.94,Deposit,ATM,8,424,Yes,2,Sunday,21,38
6088.41,Online Payment,POS Terminal,10,340,No,6,Thursday,5,54
8482.39,Transfer,Mobile,1,653,No,21,Tuesday,0,19
5055.37,Withdrawal,ATM,14,324,No,13,Thursday,0,21
2761.54,Transfer,ATM,9,544,Yes,27,Monday,8,18
760.84,Transfer,POS Terminal,9,809,No,9,Sunday,11,1
3174.4,Withdrawal,Web,10,700,Yes,11,Saturday,16,1
8914.87,Withdrawal,Web,5,715,Yes,22,Wednesday,11,57
5977.5,Deposit,Mobile,19,663,Yes,13,Monday,13,19
6862.95,Online Payment,POS Terminal,16,402,No,10,Friday,18,43
9339.19,Transfer,Web,7,622,Yes,5,Sunday,18,34
3820.82,Withdrawal,Web,7,624,Yes,18,Saturday,13,34
1248.3,Deposit,ATM,12,668,Yes,21,Tuesday,19,27
9947.53,Deposit,Mobile,10,537,No,15,Wednesday,22,18
9338.56,Online Payment,ATM,5,412,Yes,30,Thursday,6,19
5161.27,Transfer,Web,17,592,Yes,15,Saturday,12,44
6069.42,Withdrawal,Mobile,3,341,Yes,12,Wednesday,3,5
9888.09,Transfer,Mobile,11,363,Yes,15,Wednesday,9,26
1362.99,Online Payment,ATM,11,743,No,12,Wednesday,11,40
2392.44,Transfer,Web,3,518,Yes,16,Thursday,0,26
807.18,Withdrawal,POS Terminal,6,447,Yes,9,Sunday,19,41
3301.64,Deposit,Mobile,6,565,Yes,24,Friday,23,41
1992.58,Deposit,Mobile,10,766,No,30,Thursday,9,14
3422.77,Withdrawal,ATM,20,532,Yes,18,Saturday,21,47
2573.31,Transfer,Web,10,835,No,24,Friday,0,43
5776.22,Transfer,POS Terminal,1,623,No,4,Saturday,6,21
7676.78,Transfer,Mobile,5,525,Yes,4,Tuesday,20,43
2774.46,Online Payment,Mobile,19,844,Yes,7,Friday,10,45
4402.62,Online Payment,POS Terminal,20,705,Yes,26,Sunday,22,35
4389.15,Transfer,Web,4,660,No,14,Tuesday,4,23
602.44,Deposit,Mobile,16,750,Yes,2,Sunday,8,9
9105.09,Transfer,Mobile,18,805,Yes,9,Thursday,5,52
6910.23,Online Payment,POS Terminal,20,671,Yes,15,Saturday,5,34
7495.3,Transfer,POS Terminal,3,381,No,4,Saturday,11,33
4188.73,Deposit,ATM,19,379,Yes,15,Wednesday,16,51
6149.59,Online Payment,POS Terminal,16,428,No,10,Friday,19,50
2475.31,Transfer,Mobile,19,486,Yes,24,Friday,6,31
5082.75,Deposit,ATM,17,491,No,3,Monday,10,46
5501.99,Deposit,Mobile,16,580,Yes,10,Friday,19,33
678.51,Transfer,POS Terminal,3,386,Yes,22,Wednesday,7,59
124.22,Withdrawal,ATM,5,598,No,13,Thursday,5,47
367.56,Online Payment,POS Terminal,7,573,No,12,Wednesday,3,10
9000.32,Online Payment,ATM,6,582,No,14,Tuesday,10,7
9386.89,Online Payment,ATM,3,401,No,31,Friday,22,57
8332.8,Withdrawal,POS Terminal,11,757,Yes,6,Thursday,14,9
1787.54,Online Payment,Mobile,4,776,Yes,15,Saturday,15,58
3206.14,Withdrawal,Mobile,19,565,No,19,Sunday,6,47
604.06,Deposit,ATM,8,300,No,16,Thursday,13,59
4319.59,Deposit,Mobile,12,594,Yes,8,Wednesday,23,2
4536.11,Online Payment,Web,12,602,No,11,Tuesday,6,3
8047.37,Deposit,ATM,15,749,No,24,Friday,12,54
9536.27,Transfer,Mobile,7,437,No,6,Thursday,9,22
3289.04,Withdrawal,Web,18,658,Yes,23,Thursday,8,6
1814.97,Withdrawal,Mobile,16,657,No,21,Tuesday,2,44
3930.87,Online Payment,Web,16,676,No,4,Tuesday,7,41
6944.9,Withdrawal,Mobile,10,843,No,6,Monday,11,15
8001.45,Withdrawal,Web,10,709,Yes,27,Monday,10,48
3812.04,Withdrawal,ATM,14,321,Yes,1,Saturday,7,1
9127.02,Withdrawal,Mobile,3,795,Yes,28,Tuesday,1,24
2539.6,Deposit,Web,8,559,No,25,Saturday,10,25
5841.16,Withdrawal,Web,18,689,No,15,Saturday,2,3
8231.56,Withdrawal,Web,14,654,Yes,29,Wednesday,18,13
3110.8,Transfer,Mobile,20,524,No,6,Thursday,10,38
6576.39,Transfer,Web,20,310,No,4,Tuesday,18,49
2573.92,Deposit,POS Terminal,3,492,No,15,Saturday,22,21
5314.95,Transfer,Web,7,824,Yes,31,Friday,11,5
2561.67,Online Payment,Mobile,16,811,No,3,Friday,13,38
7741.77,Transfer,Web,9,639,No,8,Wednesday,23,13
6625.13,Online Payment,Mobile,3,798,No,2,Thursday,11,36
2701.02,Transfer,POS Terminal,10,547,Yes,9,Thursday,14,29
8923.29,Transfer,ATM,5,649,Yes,4,Saturday,18,28
4417.73,Withdrawal,POS Terminal,9,842,No,6,Monday,8,36
327.76,Deposit,Mobile,16,677,No,6,Thursday,3,59
51.67,Deposit,POS Terminal,18,578,No,16,Thursday,12,57
2623.58,Transfer,Web,5,336,No,15,Saturday,11,1
7644.17,Deposit,ATM,16,335,No,3,Friday,0,43
9659.56,Transfer,ATM,15,622,Yes,3,Monday,1,56
161.52,Transfer,POS Terminal,17,597,No,15,Saturday,23,24
4720.42,Deposit,Mobile,7,308,No,2,Thursday,1,33
7334.24,Withdrawal,POS Terminal,6,428,Yes,8,Wednesday,18,9
3271.1,Deposit,Mobile,17,809,No,7,Tuesday,23,21
2853.73,Online Payment,POS Terminal,10,625,Yes,15,Saturday,15,45
9943.8,Deposit,POS Terminal,2,520,Yes,5,Wednesday,16,16
1599.62,Deposit,POS Terminal,2,672,No,13,Monday,4,30
5621.01,Withdrawal,Mobile,1,442,No,25,Saturday,17,8
8185.13,Online Payment,POS Terminal,6,843,Yes,3,Monday,20,4
5747.26,Deposit,ATM,17,405,No,23,Thursday,14,58
2730.32,Deposit,Mobile,2,620,Yes,29,Wednesday,13,35
1475.06,Online Payment,Mobile,2,467,No,3,Monday,13,17
5057.4,Transfer,ATM,14,381,No,2,Sunday,23,21
8608.28,Transfer,POS Terminal,17,698,No,10,Monday,10,50
649.43,Withdrawal,POS Terminal,3,413,No,22,Wednesday,21,46
6981.65,Deposit,ATM,2,789,No,22,Wednesday,0,16
6246.74,Transfer,Web,8,488,No,5,Sunday,0,57
